integration of cell [1]
time C O Mg Si CO C2 c_grain si_grain 
3.276086e+06 7.680738e+08 1.827756e+09 3.426448e+08 6.212750e+08 4.653773e+06 8.083208e+05 0.000000e+00 0.000000e+00 
3.293929e+06 7.554609e+08 1.773913e+09 3.370761e+08 6.111779e+08 4.663726e+06 8.173620e+05 0.000000e+00 0.000000e+00 
3.312280e+06 7.428512e+08 1.721410e+09 3.315074e+08 6.010811e+08 4.671740e+06 8.259114e+05 0.000000e+00 0.000000e+00 
3.331171e+06 7.302364e+08 1.670176e+09 3.259353e+08 5.909778e+08 4.677796e+06 8.339508e+05 0.000000e+00 0.000000e+00 
3.350624e+06 7.176166e+08 1.620172e+09 3.203595e+08 5.808680e+08 4.681875e+06 8.414527e+05 0.000000e+00 0.000000e+00 
3.370644e+06 7.050040e+08 1.571412e+09 3.147855e+08 5.707613e+08 4.683955e+06 8.483795e+05 0.000000e+00 0.000000e+00 
3.391267e+06 6.923899e+08 1.523825e+09 3.092095e+08 5.606510e+08 4.684016e+06 8.547108e+05 0.000000e+00 0.000000e+00 
3.412518e+06 6.797742e+08 1.477377e+09 3.036313e+08 5.505368e+08 4.682035e+06 8.604176e+05 0.000000e+00 0.000000e+00 
3.434402e+06 6.671688e+08 1.432079e+09 2.980562e+08 5.404280e+08 4.677997e+06 8.654631e+05 0.000000e+00 0.000000e+00 
3.456963e+06 6.545648e+08 1.387865e+09 2.924801e+08 5.303177e+08 4.671875e+06 8.698245e+05 0.000000e+00 0.000000e+00 
3.480229e+06 6.419616e+08 1.344703e+09 2.869029e+08 5.202052e+08 4.663645e+06 8.734717e+05 0.000000e+00 0.000000e+00 
3.504209e+06 6.293709e+08 1.302600e+09 2.813295e+08 5.100997e+08 4.653296e+06 8.763688e+05 0.000000e+00 0.000000e+00 
3.528950e+06 6.167836e+08 1.261497e+09 2.757560e+08 4.999940e+08 4.640794e+06 8.784909e+05 0.000000e+00 0.000000e+00 
3.554488e+06 6.041986e+08 1.221361e+09 2.701819e+08 4.898872e+08 4.626113e+06 8.798071e+05 0.000000e+00 0.000000e+00 
3.580834e+06 5.916273e+08 1.182200e+09 2.646122e+08 4.797882e+08 4.609244e+06 8.802831e+05 0.000000e+00 0.000000e+00 
3.608045e+06 5.790602e+08 1.143957e+09 2.590425e+08 4.696894e+08 4.590146e+06 8.798916e+05 0.000000e+00 0.000000e+00 
3.636162e+06 5.664960e+08 1.106601e+09 2.534723e+08 4.595897e+08 4.568789e+06 8.786016e+05 0.000000e+00 0.000000e+00 
3.665202e+06 5.539456e+08 1.070139e+09 2.479064e+08 4.494977e+08 4.545165e+06 8.763808e+05 0.000000e+00 0.000000e+00 
3.695230e+06 5.413991e+08 1.034516e+09 2.423403e+08 4.394055e+08 4.519225e+06 8.732004e+05 0.000000e+00 0.000000e+00 
3.726297e+06 5.288550e+08 9.997039e+08 2.367734e+08 4.293117e+08 4.490932e+06 8.690290e+05 0.000000e+00 0.000000e+00 
3.758427e+06 5.163237e+08 9.657074e+08 2.312102e+08 4.192246e+08 4.460280e+06 8.638379e+05 0.000000e+00 0.000000e+00 
3.791698e+06 5.037950e+08 9.324755e+08 2.256462e+08 4.091361e+08 4.427209e+06 8.575969e+05 0.000000e+00 0.000000e+00 
3.826174e+06 4.912670e+08 8.999809e+08 2.200804e+08 3.990444e+08 4.391672e+06 8.502754e+05 0.000000e+00 0.000000e+00 
3.861885e+06 4.787498e+08 8.682274e+08 2.145173e+08 3.889575e+08 4.353665e+06 8.418491e+05 0.000000e+00 0.000000e+00 
3.898929e+06 4.662328e+08 8.371668e+08 2.089522e+08 3.788670e+08 4.313113e+06 8.322874e+05 0.000000e+00 0.000000e+00 
3.937384e+06 4.537138e+08 8.067729e+08 2.033840e+08 3.687709e+08 4.269961e+06 8.215619e+05 0.000000e+00 0.000000e+00 
3.977298e+06 4.412024e+08 7.770488e+08 1.978170e+08 3.586770e+08 4.224201e+06 8.096546e+05 0.000000e+00 0.000000e+00 
4.018786e+06 4.286880e+08 7.479487e+08 1.922464e+08 3.485764e+08 4.175742e+06 7.965358e+05 0.000000e+00 0.000000e+00 
4.061953e+06 4.161679e+08 7.194476e+08 1.866709e+08 3.384671e+08 4.124518e+06 7.821815e+05 0.000000e+00 0.000000e+00 
4.106865e+06 4.036515e+08 6.915480e+08 1.810948e+08 3.283566e+08 4.070514e+06 7.665823e+05 0.000000e+00 0.000000e+00 
4.153672e+06 3.911278e+08 6.642064e+08 1.755130e+08 3.182359e+08 4.013621e+06 7.497125e+05 0.000000e+00 0.000000e+00 
4.202508e+06 3.785941e+08 6.373990e+08 1.699244e+08 3.081026e+08 3.953757e+06 7.315554e+05 0.000000e+00 0.000000e+00 
4.253472e+06 3.660596e+08 6.111276e+08 1.643329e+08 2.979643e+08 3.890900e+06 7.121148e+05 0.000000e+00 0.000000e+00 
4.306759e+06 3.535133e+08 5.853512e+08 1.587336e+08 2.878119e+08 3.824916e+06 6.913730e+05 0.000000e+00 0.000000e+00 
4.362553e+06 3.409522e+08 5.600471e+08 1.531253e+08 2.776430e+08 3.755704e+06 6.693265e+05 0.000000e+00 0.000000e+00 
4.421002e+06 3.283858e+08 5.352168e+08 1.475120e+08 2.674651e+08 3.683229e+06 6.459987e+05 0.000000e+00 0.000000e+00 
4.482368e+06 3.158032e+08 5.108218e+08 1.418889e+08 2.572694e+08 3.607326e+06 6.213883e+05 0.000000e+00 0.000000e+00 
4.546911e+06 3.032016e+08 4.868404e+08 1.362547e+08 2.470536e+08 3.527869e+06 5.955143e+05 0.000000e+00 0.000000e+00 
4.614858e+06 2.905910e+08 4.632746e+08 1.306138e+08 2.368256e+08 3.444802e+06 5.684315e+05 0.000000e+00 0.000000e+00 
4.686580e+06 2.779608e+08 4.400883e+08 1.249615e+08 2.265771e+08 3.357925e+06 5.401685e+05 0.000000e+00 0.000000e+00 
4.762459e+06 2.653094e+08 4.172619e+08 1.192971e+08 2.163065e+08 3.267072e+06 5.107846e+05 0.000000e+00 0.000000e+00 
4.842854e+06 2.526476e+08 3.947982e+08 1.136254e+08 2.060227e+08 3.172161e+06 4.803860e+05 0.000000e+00 0.000000e+00 
4.928319e+06 2.399663e+08 3.726646e+08 1.079423e+08 1.957183e+08 3.072937e+06 4.490575e+05 0.000000e+00 0.000000e+00 
5.019445e+06 2.272656e+08 3.508444e+08 1.022480e+08 1.853935e+08 2.969185e+06 4.169292e+05 0.000000e+00 0.000000e+00 
5.116828e+06 2.145588e+08 3.293434e+08 9.654829e+07 1.750590e+08 2.860779e+06 3.841965e+05 0.000000e+00 0.000000e+00 
5.221342e+06 2.018400e+08 3.081342e+08 9.084073e+07 1.647102e+08 2.747394e+06 3.510464e+05 0.000000e+00 0.000000e+00 
5.333961e+06 1.891132e+08 2.872062e+08 8.512714e+07 1.543504e+08 2.628750e+06 3.177360e+05 0.000000e+00 0.000000e+00 
5.455738e+06 1.763980e+08 2.665736e+08 7.941649e+07 1.439960e+08 2.504687e+06 2.846077e+05 0.000000e+00 0.000000e+00 
5.588153e+06 1.637087e+08 2.462390e+08 7.371523e+07 1.336586e+08 2.375084e+06 2.519611e+05 0.000000e+00 0.000000e+00 
5.732929e+06 1.510777e+08 2.262338e+08 6.803811e+07 1.233650e+08 2.240077e+06 2.201198e+05 0.000000e+00 0.000000e+00 
5.892025e+06 1.385526e+08 2.066121e+08 6.240664e+07 1.131542e+08 2.100000e+06 1.894528e+05 0.000000e+00 0.000000e+00 
6.068153e+06 1.261643e+08 1.874008e+08 5.683487e+07 1.030516e+08 1.955049e+06 1.602871e+05 0.000000e+00 0.000000e+00 
6.264618e+06 1.139557e+08 1.686454e+08 5.134225e+07 9.309250e+07 1.805620e+06 1.329612e+05 0.000000e+00 0.000000e+00 
6.485444e+06 1.019850e+08 1.504141e+08 4.595514e+07 8.332471e+07 1.652397e+06 1.078042e+05 0.000000e+00 0.000000e+00 
6.735842e+06 9.031278e+07 1.327782e+08 4.070098e+07 7.379800e+07 1.496254e+06 8.507126e+04 0.000000e+00 0.000000e+00 
7.022770e+06 7.899977e+07 1.158080e+08 3.560719e+07 6.456208e+07 1.338257e+06 6.489847e+04 0.000000e+00 0.000000e+00 
7.356640e+06 6.808035e+07 9.953539e+07 3.068936e+07 5.564520e+07 1.179318e+06 4.722462e+04 0.000000e+00 0.000000e+00 
7.751468e+06 5.761749e+07 8.403540e+07 2.597587e+07 4.709881e+07 1.020984e+06 3.186358e+04 0.000000e+00 0.000000e+00 
8.227773e+06 4.767916e+07 6.939138e+07 2.149734e+07 3.897845e+07 8.650716e+05 1.852322e+04 0.000000e+00 0.000000e+00 
8.814195e+06 3.837554e+07 5.575119e+07 1.730387e+07 3.137495e+07 7.132993e+05 7.857575e+03 0.000000e+00 0.000000e+00 
